season,seasons_used,player,pWAR,rate,balls_eq,wb_ipl,wb_t20,bf,bb,source,rate_shrunk
2021,"2018,2019,2020",Haider Ali,0.6106207729351619,0.1360061976700357,54.9,0.0,366.0,,,T20I only,0.16792071255716953
2021,"2018,2019,2020",Hamish Bennett,0.5572224783679351,-0.0433533375908898,61.2,0.0,408.0,,,T20I only,0.15323618155118215
2021,"2018,2019,2020",Harbhajan Singh,0.6777844575952752,0.2010778512391845,761.0,761.0,0.0,42.0,719.0,IPL only,0.18639072583870067
2021,"2018,2019,2020",Hardik Pandya,1.0282697522643092,0.3229916820790554,1955.5,1855.0,670.0,1086.0,769.0,IPL+T20I,0.28277418187268505
2021,"2018,2019,2020",Hardus Viljoen,0.43628862568261995,-0.0017828528111346,290.0,290.0,0.0,14.0,276.0,IPL only,0.1199793720627205
2021,"2018,2019,2020",Haris Rauf,0.5793479136831732,0.0679375807506859,85.05,0.0,567.0,,,T20I only,0.15932067626287263
2021,"2018,2019,2020",Haris Sohail,0.5843501930601008,-0.0138984018636749,39.0,0.0,260.0,,,T20I only,0.16069630309152774
2021,"2018,2019,2020",Harpreet Brar,0.40148036513816043,-0.1588982545115343,156.0,156.0,0.0,24.0,132.0,IPL only,0.11040710041299412
2021,"2018,2019,2020",Harry Gurney,0.7724963838710903,0.299963137224855,336.0,336.0,0.0,10.0,326.0,IPL only,0.21243650556454982
2021,"2018,2019,2020",Harry Tector,0.6146605845419255,0.1588334071331046,95.55,0.0,637.0,,,T20I only,0.16903166074902953
2021,"2018,2019,2020",Harshal Patel,0.17783248708863017,-0.0965043598844062,585.0,585.0,0.0,109.0,476.0,IPL only,0.0489039339493733
2021,"2018,2019,2020",Hasan Ali,0.5725221802200912,0.0063864762861313,60.15,0.0,401.0,,,T20I only,0.15744359956052506
2021,"2018,2019,2020",Hayden Walsh,0.5361336827999673,-0.1480797058861814,54.45,0.0,363.0,,,T20I only,0.14743676276999101
2021,"2018,2019,2020",Hazratullah Zazai,0.6982695167866495,0.3478229458036827,97.05,0.0,647.0,,,T20I only,0.1920241171163286
2021,"2018,2019,2020",Heinrich Klaasen,0.4724529366050147,-0.1026383248032434,121.9,67.0,366.0,67.0,0.0,IPL+T20I,0.12992455756637905
2021,"2018,2019,2020",Hussain Talat,0.5749918021810091,0.0181116279172072,61.5,0.0,410.0,,,T20I only,0.1581227455997775
2021,"2018,2019,2020",Iftikhar Ahmed,0.6258201410108613,0.1918112270612523,59.55,0.0,397.0,,,T20I only,0.17210053877798684
2021,"2018,2019,2020",Imad Wasim,0.6776026756139332,0.2489709179094011,177.9,0.0,1186.0,,,T20I only,0.18634073579383162
2021,"2018,2019,2020",Imran Tahir,0.4734464681883569,0.1053559961924125,1133.5,1126.0,50.0,32.0,1094.0,IPL+T20I,0.13019777875179814
2021,"2018,2019,2020",Ish Sodhi,0.4601997624514489,0.0584281429150394,450.75,252.0,1325.0,28.0,224.0,IPL+T20I,0.12655493467414844
2021,"2018,2019,2020",Ishan Kishan,1.1963562078090888,0.4057628010935072,1446.0,1446.0,0.0,1446.0,0.0,IPL only,0.3289979571474994
2021,"2018,2019,2020",Ishant Sharma,0.9905198114484759,0.3890244155445879,612.0,612.0,0.0,6.0,606.0,IPL only,0.27239294814833087
2021,"2018,2019,2020",Isuru Udana,0.22957995876716705,-0.050296206996245,662.1,555.0,714.0,33.0,522.0,IPL+T20I,0.06313448866097093
2021,"2018,2019,2020",JJ Smuts,0.5435370888148725,-0.3228530996245208,31.05,0.0,207.0,,,T20I only,0.14947269942408994
2021,"2018,2019,2020",Jagadeesha Suchith,0.4779031169938024,-0.2185799202115168,78.0,78.0,0.0,30.0,48.0,IPL only,0.13142335717329565
2021,"2018,2019,2020",James Neesham,0.15970183296353668,-0.1864214492107239,384.45,324.0,403.0,54.0,270.0,IPL+T20I,0.043918004064972586
2021,"2018,2019,2020",James Pattinson,0.4225401887557261,0.0602138626425665,678.0,678.0,0.0,39.0,639.0,IPL only,0.11619855190782467
2021,"2018,2019,2020",James Vince,0.6210191107131461,0.1774892112245647,37.2,0.0,248.0,,,T20I only,0.1707802554461152
2021,"2018,2019,2020",Jason Behrendorff,0.7732706931367841,0.3341373270553145,243.3,228.0,102.0,0.0,228.0,IPL+T20I,0.21264944061261565
2021,"2018,2019,2020",Jason Holder,0.639638844680646,0.1810766940918247,740.7,663.0,518.0,159.0,504.0,IPL+T20I,0.17590068228717767
2021,"2018,2019,2020",Jason Roy,0.6190787390234738,0.1694986242917837,165.7,94.0,478.0,94.0,0.0,IPL+T20I,0.1702466532314553
2021,"2018,2019,2020",Jasprit Bumrah,1.389682146464343,0.4468396603089224,2291.65,2179.0,751.0,22.0,2157.0,IPL+T20I,0.38216259027769434
2021,"2018,2019,2020",Javon Searles,0.4687128322318503,-0.4767161680673064,48.0,48.0,0.0,6.0,42.0,IPL only,0.12889602886375884
2021,"2018,2019,2020",Jayant Yadav,0.7305283471019064,0.3015089801690368,212.0,212.0,0.0,0.0,212.0,IPL only,0.20089529545302426
2021,"2018,2019,2020",Jaydev Unadkat,-0.0011332395663844557,-0.0946033602289619,1267.5,1248.0,130.0,83.0,1165.0,IPL+T20I,-0.0003116408807557253
2021,"2018,2019,2020",Jean-Paul Duminy,0.44979888739218765,-0.2199011025462048,95.2,58.0,248.0,40.0,18.0,IPL+T20I,0.12369469403285162
2021,"2018,2019,2020",Joe Denly,0.5510598468169083,-0.1296837579778494,47.0,2.0,300.0,2.0,0.0,IPL+T20I,0.1515414578746498
2021,"2018,2019,2020",Joe Root,0.5703510095859249,-0.1247545482759237,33.75,0.0,225.0,,,T20I only,0.15684652763612933
2021,"2018,2019,2020",Jofra Archer,1.2131879543580484,0.3874560591473758,2122.3,2053.0,462.0,290.0,1763.0,IPL+T20I,0.3336266874484633
2021,"2018,2019,2020",Jonny Bairstow,1.2036673223156207,0.404635075869273,1526.75,1382.0,965.0,1382.0,0.0,IPL+T20I,0.3310085136367957
2021,"2018,2019,2020",Jos Buttler,1.4997263049029892,0.5211543282234846,1558.0,1444.0,760.0,1444.0,0.0,IPL+T20I,0.41242473384832207
2021,"2018,2019,2020",Josh Hazlewood,0.6612733466085096,0.2213490027361835,202.5,180.0,150.0,0.0,180.0,IPL+T20I,0.18185017031734013
