player,pWAR_final,pWAR,WAR_recent,team,role,salary,capped,overseas,auctionStatus,ipl_balls_wtd,t20i_balls_wtd,balls_eq,source,ipl_balls_faced,ipl_balls_bowled,bat_pos,bowl_phase,bowl_kind,bat_group,balls_recent,pWAR_base,chg,WAR
Harbhajan Singh,0.678,0.68,0.68,KKR,Bowler,2.0,0,0,sold,761.0,0.0,761.0,IPL only,39.0,462.0,9.0,Powerplay+Middle,spin bowler,Tail,761.0,0.68,0.0,0.68
Karun Nair,0.56,0.56,0.56,KKR,Batter,0.5,0,0,sold,275.0,0.0,275.0,IPL only,241.0,0.0,4.0,,,Middle,275.0,0.56,0.0,0.56
Vaibhav Arora,0.0,0.0,0.0,KKR,Bowler,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Sheldon Jackson,0.0,0.0,0.0,KKR,WK-Batter,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Nitish Rana,0.756,0.76,0.76,KKR,Batter,3.4,0,0,retained,1633.0,0.0,1633.0,IPL only,721.0,101.0,4.0,Middle,spin bowler,Middle,1633.0,0.76,0.0,0.76
Shakib Al Hasan,0.398,0.4,0.4,KKR,Allrounder,3.2,0,1,sold,788.45,0.0,788.45,IPL+T20I,207.0,411.0,5.0,Powerplay+Middle+Death,spin bowler,Middle,788.45,0.4,0.0,0.4
Prasidh Krishna,0.162,0.16,0.16,KKR,Bowler,0.2,0,0,retained,1002.0,0.0,1002.0,IPL only,11.0,540.0,11.0,Powerplay+Middle+Death,pace bowler,Tail,1002.0,0.16,0.0,0.16
Sandeep Warrier,0.568,0.57,0.57,KKR,Bowler,0.2,0,0,retained,200.0,0.0,200.0,IPL only,0.0,94.0,,Powerplay,pace bowler,,200.0,0.57,0.0,0.57
Shivam Mavi,0.512,0.51,0.51,KKR,Allrounder,3.0,0,0,retained,694.0,0.0,694.0,IPL only,29.0,341.0,9.0,Powerplay+Middle+Death,pace bowler,Tail,694.0,0.51,0.0,0.51
Kamlesh Nagarkoti,0.141,0.14,0.14,KKR,Bowler,3.2,0,0,retained,561.0,0.0,561.0,IPL only,31.0,160.0,9.0,Middle+Death,pace bowler,Tail,561.0,0.14,0.0,0.14
Lockie Ferguson,0.626,0.63,0.63,KKR,Bowler,1.6,0,1,retained,720.75,0.0,720.75,IPL+T20I,29.0,231.0,9.0,Powerplay+Middle+Death,pace bowler,Tail,720.75,0.63,0.0,0.63
Pat Cummins,0.271,0.27,0.27,KKR,Bowler,15.5,0,1,retained,1368.45,0.0,1368.45,IPL+T20I,114.0,321.0,7.5,Powerplay+Middle+Death,pace bowler,Lower,1368.45,0.27,0.0,0.27
Kuldeep Yadav,0.14,0.14,0.14,KKR,Bowler,5.8,0,0,retained,1082.4,0.0,1082.4,IPL+T20I,53.0,589.0,9.5,Middle+Death,spin bowler,Tail,1082.4,0.14,0.0,0.14
Varun Chakravarthy,0.539,0.54,0.54,KKR,Bowler,4.0,0,0,retained,1017.0,0.0,1017.0,IPL only,15.0,331.0,10.0,Middle+Death,spin bowler,Tail,1017.0,0.54,0.0,0.54
Sunil Narine,0.602,0.6,0.6,KKR,Bowler,8.5,0,1,retained,2225.2,0.0,2225.2,IPL+T20I,359.0,874.0,2.0,Powerplay+Middle+Death,spin bowler,Opener,2225.2,0.6,0.0,0.6
Andre Russell,0.961,0.96,0.96,KKR,Allrounder,7.0,0,1,retained,1885.4,0.0,1885.4,IPL+T20I,501.0,535.0,6.0,Powerplay+Middle+Death,pace bowler,Lower,1885.4,0.96,0.0,0.96
Eoin Morgan,0.75,0.75,0.75,KKR,Batter,5.25,0,1,retained,1043.1,0.0,1043.1,IPL+T20I,302.0,0.0,5.0,,,Middle,1043.1,0.75,0.0,0.75
Dinesh Karthik,0.775,0.78,0.78,KKR,WK-Batter,7.4,0,0,retained,1110.5,0.0,1110.5,IPL+T20I,644.0,0.0,5.0,,,Middle,1110.5,0.78,0.0,0.78
Rinku Singh,0.533,0.53,0.53,KKR,Batter,0.8,0,0,retained,132.0,0.0,132.0,IPL only,76.0,0.0,6.0,,,Lower,132.0,0.53,0.0,0.53
Rahul Tripathi,0.673,0.67,0.67,KKR,Batter,0.6,0,0,retained,946.0,0.0,946.0,IPL only,466.0,0.0,4.0,,,Middle,946.0,0.67,0.0,0.67
Tim Seifert,0.59,0.59,0.59,KKR,WK-Batter,0.5,0,1,retained,177.0,0.0,177.0,T20I only,0.0,0.0,,,,,177.0,0.59,0.0,0.59
Shubman Gill,0.718,0.72,0.72,KKR,Batter,1.8,0,0,retained,1742.0,0.0,1742.0,IPL only,753.0,0.0,3.0,,,No3,1742.0,0.72,0.0,0.72
Arjun Tendulkar,0.0,0.0,0.0,MI,Allrounder,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Marco Jansen,0.0,0.0,0.0,MI,Allrounder,0.2,0,1,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Yudhvir Singh,0.0,0.0,0.0,MI,Bowler,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
James Neesham,0.16,0.16,0.16,MI,Allrounder,0.5,0,1,sold,384.45,0.0,384.45,IPL+T20I,18.0,93.0,7.0,Middle,pace bowler,Lower,384.45,0.16,0.0,0.16
Piyush Chawla,-0.049,-0.05,-0.05,MI,Allrounder,2.4,0,0,sold,1317.0,0.0,1317.0,IPL only,71.0,691.0,8.0,Powerplay+Middle+Death,spin bowler,Lower,1317.0,-0.05,0.0,-0.05
Nathan Coulter-Nile,0.837,0.84,0.84,MI,Bowler,5.0,0,1,sold,551.55,0.0,551.55,IPL+T20I,15.0,165.0,8.0,Middle+Death,pace bowler,Lower,551.55,0.84,0.0,0.84
Adam Milne,0.0,0.0,0.0,MI,Bowler,3.2,0,1,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Mohsin Khan,0.0,0.0,0.0,MI,Bowler,0.2,0,0,retained,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Saurabh Tiwary,0.342,0.34,0.34,MI,Batter,0.5,0,0,retained,240.0,0.0,240.0,IPL only,80.0,0.0,4.0,,,Middle,240.0,0.34,0.0,0.34
Chris Lynn,1.052,1.05,1.05,MI,Batter,2.0,0,1,retained,982.95,0.0,982.95,IPL+T20I,667.0,0.0,1.0,,,Opener,982.95,1.05,0.0,1.05
Trent Boult,0.401,0.4,0.4,MI,Bowler,2.2,0,1,retained,1651.3,0.0,1651.3,IPL+T20I,7.0,798.0,10.5,Powerplay+Middle+Death,pace bowler,Tail,1651.3,0.4,0.0,0.4
Suryakumar Yadav,1.19,1.19,1.19,MI,Batter,3.2,0,0,retained,2025.0,0.0,2025.0,IPL only,1039.0,0.0,3.0,,,No3,2025.0,1.19,0.0,1.19
Quinton de Kock,1.121,1.12,1.12,MI,WK-Batter,2.8,0,1,retained,2147.2,0.0,2147.2,IPL+T20I,918.0,0.0,2.0,,,Opener,2147.2,1.12,0.0,1.12
Krunal Pandya,0.529,0.53,0.53,MI,Allrounder,8.8,0,0,retained,2552.45,0.0,2552.45,IPL+T20I,399.0,843.0,6.0,Powerplay+Middle+Death,spin bowler,Lower,2552.45,0.53,0.0,0.53
Jayant Yadav,0.731,0.73,0.73,MI,Bowler,0.5,0,0,retained,212.0,0.0,212.0,IPL only,0.0,85.0,,Middle,spin bowler,,212.0,0.73,0.0,0.73
Kieron Pollard,0.927,0.93,0.93,MI,Allrounder,5.4,0,1,retained,1426.8,0.0,1426.8,IPL+T20I,418.0,138.0,6.0,Middle,pace bowler,Lower,1426.8,0.93,0.0,0.93
Jasprit Bumrah,1.39,1.39,1.39,MI,Bowler,7.0,0,0,retained,2291.65,0.0,2291.65,IPL+T20I,15.0,1083.0,10.0,Powerplay+Middle+Death,pace bowler,Tail,2291.65,1.39,0.0,1.39
Ishan Kishan,1.196,1.2,1.2,MI,WK-Batter,6.2,0,0,retained,1446.0,0.0,1446.0,IPL only,638.0,0.0,4.0,,,Middle,1446.0,1.2,0.0,1.2
Anukul Roy,0.0,0.0,0.0,MI,Allrounder,0.2,0,0,retained,0.0,0.0,0.0,prior,0.0,15.0,,,spin bowler,,0.0,0.0,0.0,0.0
