player,pWAR_final,pWAR,WAR_recent,team,role,salary,capped,overseas,auctionStatus,ipl_balls_wtd,t20i_balls_wtd,balls_eq,source,ipl_balls_faced,ipl_balls_bowled,bat_pos,bowl_phase,bowl_kind,bat_group,balls_recent,pWAR_base,chg,WAR
Vaibhav Arora,1.02,1.21,1.02,KKR,Bowler,1.8,0,0,retained,1334,0,1334,IPL only,12,645,10,Death+Powerplay,pace bowler,Tail,677,1.29,-0.08,1.33
Mukesh Kumar,1.255,1.26,1.33,DC,Bowler,8,1,0,retained,1234,128,1263.034146,IPL+T20I,9,632,9,Death+Middle+Powerplay,pace bowler,Tail,593,1.23,0.03,1.25
Deepak Chahar,1.021,1.41,1.22,MI,Bowler,9.25,1,0,retained,945,0,945,IPL only,32,464,9,Powerplay,pace bowler,Tail,449,1.49,-0.08,1.52
Nehal Wadhera,1.215,1.21,1.27,PBKS,Batter,4.2,0,0,retained,783,0,783,IPL only,394,17,5,Death+Middle,spin bowler,Middle,372,1.19,0.02,1.22
Rohit Sharma,1.785,1.19,1.21,MI,Batter,16.3,1,0,retained,1249,236,1302.531707,IPL+T20I,695,,2,,,Opener,554,1.18,0.01,1.18
Kuldeep Yadav,1.185,1.1,0.6,DC,Bowler,13.25,1,0,retained,1627,760,1799.390244,IPL+T20I,78,776,10,Death+Middle,spin bowler,Tail,773,1.31,-0.21,1.27
Urvil Patel,1.135,1.05,0.73,CSK,WK-Batter,0.3,0,0,retained,205,0,205,IPL only,79,,3,,,No3,126,1.19,-0.14,1.22
Devdutt Padikkal,1.92,1.24,1.83,RCB,Batter,2,1,0,retained,939,0,939,IPL only,403,,3,,,No3,536,0.99,0.25,1.01
Dewald Brevis,1.125,1.13,0.93,CSK,Batter,2.2,1,1,retained,504,997,730.1487805,IPL+T20I,249,,5,,,Middle,255,1.21,-0.08,1.12
Hardik Pandya,1.1,1.22,1.28,MI,Allrounder,16.35,1,0,retained,1766,2564,2347.590244,IPL+T20I,395,555,5,Death+Middle+Powerplay,pace bowler,Middle,816,1.2,0.02,0.98
Dhruv Jurel,1.26,1.14,1.45,RR,WK-Batter,14,1,0,retained,1173,32,1180.258537,IPL only,556,,5,,,Middle,617,1,0.14,1.02
Akeal Hosein,1.065,1.15,1.15,CSK,Bowler,2,1,1,sold,402,1960,846.5853659,IPL+T20I,2,132,8,Middle+Powerplay,spin bowler,Lower,268,1.15,0,0.98
Rishabh Pant,1.058,1.23,1.43,LSG,WK-Batter,27,1,0,retained,1234,169,1272.334146,IPL+T20I,670,,4,,,Middle,564,1.15,0.08,1.16
Brijesh Sharma,1.04,1.08,1.3,RR,Bowler,0.3,0,0,sold,498,0,498,IPL only,4,162,10,Death+Middle+Powerplay,pace bowler,Tail,332,0.98,0.1,1
Marcus Stoinis,1.02,1.05,1.01,PBKS,Allrounder,11,1,1,retained,1117,1139,1375.358537,IPL+T20I,444,217,4,Middle+Powerplay,pace bowler,Middle,456,1.07,-0.02,0.99
Harpreet Brar,1.015,1,0.98,PBKS,Bowler,1.5,0,0,retained,646,0,646,IPL only,67,385,9,Middle,spin bowler,Tail,194,1.01,-0.01,1.03
Abdul Samad,0.585,0.98,0.93,LSG,Batter,4.2,0,0,retained,496,260,554.9756098,IPL+T20I,266,3,7,Death,spin bowler,Lower,227,1,-0.02,0.99
Sarfaraz Khan,0.95,0.97,1.13,CSK,Batter,0.75,1,0,sold,285,0,285,IPL only,95,,5,,,Middle,190,0.9,0.07,0.93
Aiden Markram,0.945,1.07,1.4,LSG,Batter,2,1,1,retained,1529,1502,1869.697561,IPL+T20I,643,115,2,Middle,spin bowler,Opener,771,0.93,0.14,0.82
Anukul Roy,0.9,0.93,1.11,KKR,Allrounder,0.4,0,0,retained,531,0,531,IPL only,31,179,8,Middle+Powerplay,spin bowler,Lower,321,0.85,0.08,0.87
Mustafizur Rahman,0.895,0.83,0.28,KKR,Bowler,9.2,1,1,sold,344,1296,637.9707317,IPL+T20I,1,276,11,Death+Middle+Powerplay,pace bowler,Tail,67,1.07,-0.24,0.96
Will Jacks,2.31,0.7,0.05,MI,Allrounder,5.25,1,1,retained,912,1154,1173.760976,IPL+T20I,344,169,3,Middle+Powerplay,spin bowler,No3,399,0.98,-0.28,0.88
Trent Boult,0.862,1.38,0.05,MI,Bowler,12.5,1,1,retained,1315,106,1339.043902,IPL+T20I,23,752,9,Death+Middle+Powerplay,pace bowler,Tail,540,1.95,-0.57,1.99
Aniket Verma,0.855,0.88,1.03,SRH,Batter,0.3,0,0,retained,446,0,446,IPL only,196,,5,,,Middle,250,0.81,0.07,0.83
Pathum Nissanka,0.835,0.88,0.71,DC,Batter,4,1,1,sold,525,1837,941.6853659,IPL+T20I,175,,1,,,Opener,350,0.96,-0.08,0.79
David Miller,0.825,0.86,0.92,DC,Batter,2,1,1,sold,715,667,866.295122,IPL+T20I,371,,5,,,Middle,344,0.84,0.02,0.79
Prasidh Krishna,0.94,0.78,0.69,GT,Bowler,9.5,1,0,retained,1230,0,1230,IPL only,,528,,Death+Middle+Powerplay,pace bowler,,702,0.82,-0.04,0.84
