player,bf,v_bat,rate_bat,bb,v_bowl,rate_bowl,balls,VORP,rate,WAR_cum,wballs,WAR,target,t_years,is_mega
Sai Sudharsan,342.0,98.94515169356687,0.28931330904551716,0.0,0.0,0.0,342.0,98.94515169356687,0.28931330904551716,1.1993351720432348,342.0,1.0520483965291532,2023,2,False
Chris Gayle,518.0,147.98118659665568,0.2856779664028102,5.0,2.9081232022160943,0.5816246404432188,523.0,150.88930979887178,0.2885072845102711,1.8289613308954156,523.0,1.0491173982191675,2023,2,False
Mitchell Marsh,568.0,206.88469775935366,0.3642336228157635,220.0,19.914378792412307,0.09051990360187412,788.0,226.79907655176595,0.28781608699462685,2.749079715778981,788.0,1.046603952707734,2023,2,False
Moises Henriques,64.0,-26.897551662292905,-0.42027424472332664,120.0,79.62493584458271,0.6635411320381892,184.0,52.7273841822898,0.28656187055592286,0.6391198082701794,184.0,1.0420431656579012,2023,2,False
Sunil Narine,299.0,62.2628686221496,0.2082370188031759,1912.0,570.4425466561693,0.29834861226787096,2211.0,632.7054152783189,0.2861625577920936,7.669156548828108,2211.0,1.0405911192439767,2023,2,False
Jason Roy,242.0,68.10010729964236,0.2814054020646379,0.0,0.0,0.0,242.0,68.10010729964236,0.2814054020646379,0.825455846056271,242.0,1.0232923711441377,2023,2,False
Rashid Khan,300.0,52.07452308193926,0.1735817436064642,2205.0,641.6863262421101,0.2910142069125216,2505.0,693.7608493240493,0.2769504388519159,8.409222416049083,2505.0,1.0070925049160577,2023,2,False
Tilak Varma,909.0,255.93074401669895,0.2815519736157304,36.0,2.9445772799414387,0.08179381333170663,945.0,258.8753212966404,0.27394213893824376,3.1378826823835198,945.0,0.9961532325027046,2023,2,False
Ambati Rayudu,1294.0,351.41621761581047,0.2715735839380297,0.0,0.0,0.0,1294.0,351.41621761581047,0.2715735839380297,4.259590516555279,1294.0,0.9875403052291989,2023,2,False
David Miller,1237.0,334.2868593660882,0.27023998331939225,0.0,0.0,0.0,1237.0,334.2868593660882,0.27023998331939225,4.05196193171016,1237.0,0.9826908484341537,2023,2,False
Rishabh Pant,1625.0,437.44580108675285,0.2691974160533864,0.0,0.0,0.0,1625.0,437.44580108675285,0.2691974160533864,5.302373346506095,1625.0,0.9788996947395868,2023,2,False
Anmolpreet Singh,67.0,17.800189803643608,0.2656744746812479,0.0,0.0,0.0,67.0,17.800189803643608,0.2656744746812479,0.2157598764078013,67.0,0.9660889988409014,2023,2,False
Obed McCoy,15.0,11.042276115486748,0.7361517410324498,471.0,115.52001025815872,0.24526541456084655,486.0,126.56228637364546,0.2604162271062664,1.534088319680551,486.0,0.9469680985682415,2023,2,False
Steven Smith,507.0,130.99212350968475,0.2583671075141711,0.0,0.0,0.0,507.0,130.99212350968475,0.2583671075141711,1.587783315268906,507.0,0.9395167545969857,2023,2,False
Harshal Patel,233.0,-27.803645556755967,-0.11932895088736467,1744.0,532.0978570106897,0.30510198223090007,1977.0,504.29421145393377,0.25508053184316326,6.112657108532531,1977.0,0.9275655703387754,2023,2,False
Avesh Khan,45.0,35.16051497369746,0.7813447771932769,1619.0,386.1492584184556,0.23851096875753897,1664.0,421.30977339215303,0.25319096958663045,5.106785132026097,1664.0,0.9206944348604743,2023,2,False
Shreyas Iyer,1657.0,415.220049338347,0.2505854250684049,18.0,5.963326158660188,0.3312958977033438,1675.0,421.1833754970072,0.2514527614907506,5.10525303632736,1675.0,0.9143736781481839,2023,2,False
Tim Southee,46.0,-41.41367025547547,-0.9002971794668582,777.0,242.07378525047324,0.3115492731666322,823.0,200.66011499499777,0.24381544956864856,2.432243818121185,823.0,0.8866016347950857,2023,2,False
Axar Patel,537.0,97.84038943402744,0.18219811812668052,1632.0,428.6012225547935,0.26262329813406465,2169.0,526.4416119888209,0.24271166988880633,6.381110448349344,2169.0,0.8825878905047503,2023,2,False
Wriddhiman Saha,1210.0,290.1725412124642,0.23981201753096212,0.0,0.0,0.0,1210.0,290.1725412124642,0.23981201753096212,3.5172429237874447,1210.0,0.8720437001125895,2023,2,False
Aiden Markram,1060.0,341.7670663147578,0.32242176067429984,156.0,-54.70292431214878,-0.3506597712317229,1216.0,287.06414200260906,0.23607248519951404,3.4795653576073824,1216.0,0.8584454007255056,2023,2,False
Hardik Pandya,1494.0,288.8680034098123,0.19335207724887032,552.0,188.64183856625525,0.34174246117075224,2046.0,477.5098419760675,0.2333870195386449,5.787998084558394,2046.0,0.8486800710496178,2023,2,False
Prashant Solanki,0.0,0.0,0.0,108.0,25.004772414323508,0.23152567050299544,108.0,25.004772414323508,0.23152567050299544,0.30308815047664855,108.0,0.8419115291018016,2023,2,False
Ben Stokes,206.0,89.56129689814914,0.43476357717548125,104.0,-18.556135283271608,-0.17842437772376546,310.0,71.00516161487752,0.2290489084350888,0.8606686256348791,310.0,0.8329051215821411,2023,2,False
Jayant Yadav,52.0,18.1531942600703,0.34909988961673655,246.0,48.31811014609659,0.1964150818947016,298.0,66.4713044061669,0.2230580684770701,0.8057127806808109,298.0,0.8111202490075275,2023,2,False
Sam Billings,414.0,91.7125567103131,0.22152791475921038,0.0,0.0,0.0,414.0,91.7125567103131,0.22152791475921038,1.111667354064401,414.0,0.8055560536698559,2023,2,False
Deepak Hooda,1307.0,364.41653213348565,0.2788190758481145,270.0,-15.308867565044025,-0.05669950950016306,1577.0,349.10766456844163,0.2213745495044018,4.23160805537505,1577.0,0.8049983618341885,2023,2,False
Rohit Sharma,1527.0,342.28951548251,0.22415816338081862,14.0,-7.655106600448635,-0.546793328603474,1541.0,334.6344088820614,0.21715406157174652,4.056174653115896,1541.0,0.7896511329881691,2023,2,False
Devdutt Padikkal,1953.0,419.3723096181192,0.21473236539586235,0.0,0.0,0.0,1953.0,419.3723096181192,0.21473236539586235,5.083300722643869,1953.0,0.7808449650758631,2023,2,False
Abhinav Manohar,225.0,48.118040837816636,0.21385795927918505,0.0,0.0,0.0,225.0,48.118040837816636,0.21385795927918505,0.5832489798523228,225.0,0.7776653064697637,2023,2,False
Moeen Ali,1067.0,180.45564702458194,0.169124317736253,765.0,208.03074450883554,0.2719356137370399,1832.0,388.4863915334175,0.21205589057500954,4.708925957980818,1832.0,0.771112329363671,2023,2,False
Dawid Malan,52.0,10.87405929659065,0.20911652493443558,0.0,0.0,0.0,52.0,10.87405929659065,0.20911652493443558,0.13180677935261392,52.0,0.7604237270343113,2023,2,False
Shashank Singh,141.0,38.781683062324596,0.27504739760513897,36.0,-1.9872290309198135,-0.055200806414439266,177.0,36.79445403140478,0.20787827136386883,0.4459933821988459,177.0,0.7559209867777048,2023,2,False
Dwayne Bravo,114.0,-28.75759859885586,-0.252259636832069,1157.0,292.44534849819064,0.25276175323957706,1271.0,263.6877498993348,0.20746479142355215,3.196215150294967,1271.0,0.7544174233583715,2023,2,False
Virat Kohli,1944.0,402.22607603201305,0.20690641771194088,0.0,0.0,0.0,1944.0,402.22607603201305,0.20690641771194088,4.875467588266825,1944.0,0.7523869734979668,2023,2,False
Saurabh Tiwary,274.0,55.38985076027958,0.20215274000102035,0.0,0.0,0.0,274.0,55.38985076027958,0.20215274000102035,0.6713921304276312,274.0,0.7351008727309831,2023,2,False
Srikar Bharat,333.0,64.22548448665366,0.1928693227827437,0.0,0.0,0.0,333.0,64.22548448665366,0.1928693227827437,0.7784907210503473,333.0,0.7013429919372498,2023,2,False
